"Site ID","Name of Site","Authored By","User ID","Authored On","Last Edited","Primary Term","Icon","Tags","Description","Language","Appointment Needed","Children Welcome","Volunteer","Details of Volunteer Opportunities","Accessible by public transport","Public Transit Directions","Telephone","Site Email","Free entry","Entry cost","Web Address","Wheelchair Accessible","Street location","Additional","City","Province","Country","Postal Code","Latitude","Longitude","Maps","Map IDs","Public Site","Contributor Directly Involved In Site","Contributor Name","Contributor Email","Image","Image caption or credit","Video","Video caption or credit","Awaiting Approval","Published"
"185","Pleasant Park Garden","NYC Green Apple Map","22","03/03/2008 - 13:03","04/20/2010 - 09:55","Community Garden","Community Garden","","Large garden built by New York Restoration Project, and now one of the NYRP's busiest gardens.  Three bin composter for yard and members' food waste, with rainwater recycling and straw-bale shed!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.nyrp.org/gardens/garden.php?sub=0&p=3&g=3","Not accessible","437 E. 114th St","","New York","New York","United States","10029","40.794448","-73.935713","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/85265986@N00/1009970160","","","","","Yes"
"186","Central Park Conservancy","NYC Green Apple Map","22","03/03/2008 - 13:11","04/20/2010 - 09:56","Park/Recreation Area","Park/Recreation Area","","The CPC composts all of the Park's yard waste in windrows.  Everything from fallen leaves to algae from the ponds!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.centralparknyc.org/","Not accessible","Compost Drive, near E. 105th St. behind Conservatory Garden","","New York","New York","United States","","40.793733","-73.951839","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/70323761@N00/185190005","","","","","Yes"
"187","High School for Environmental Studies","NYC Green Apple Map","22","03/03/2008 - 13:25","02/28/2011 - 16:47","School","School","","High school with integrated programs in environmental science has worm bins in classrooms, garden waste composting on the green roof & even a composting club.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","(212) 262-8113","","Not free","","http://www.envirostudies.org/index2.html","Not accessible","444 W. 56th St.","","New York","New York","United States","10019","40.768000","-73.988173","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
"188","Clinton Community Garden","NYC Green Apple Map","22","03/03/2008 - 13:31","04/04/2011 - 10:42","Community Garden","Community Garden","","A ""green sanctuary"" since 1978 with composting, bee hives and flowery rock, shade, native plant, and vegetable gardens.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.clintoncommunitygarden.org/","Not accessible","West 48th St. btw 9th and 10th Aves.","","New York","New York","United States","","40.714353","-74.005973","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","http://www.flickr.com/photos/21741563@N06/2194547439","Syrphid flower fly on strawberry flower photo by Kevin Matteson","","","","Yes"
"189","NYC Department of Sanitation Special Waste Collection","NYC Green Apple Map","22","03/03/2008 - 13:44","01/04/2013 - 19:14","Reuse","Reuse","","Public drop-off open 10am to 5pm, last Friday of each month & first 3 Saturdays.  Bring batteries, fluorescent bulbs, paint, etc.  No compost!  Electronic waste (eWaste) and gently used clothes don't belong in the trash.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://NYC.gov/wasteless","Not accessible","605 W. 30th Street","At 12th Avenue","New York","New York","United States","","40.754456","-74.006583","NYC Compost Green Map, Less = More NYC, Green Map NYC","366, 30990, 1561","Yes","No","","","","","","","","Yes"
"190","The School of the Future","NYC Green Apple Map","22","03/03/2008 - 13:55","03/01/2011 - 13:49","School","School","","Students perform vermicomposting of local business waste and maintain a green roof.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","(212) 476-8086","","Not free","","http://www.sof.edu/","Not accessible","127 E. 22nd St.","","New York","New York","United States","10010","40.739138","-73.985373","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","http://www.flickr.com/photos/50833405@N02/4711632707","","","","","Yes"
"191","Solar One","NYC Green Apple Map","22","03/03/2008 - 14:05","04/20/2010 - 10:02","Environmental Education","Environmental Education","","""Green Energy, Arts and Education Center"" has worm bin for food waste.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","212 505 6050","","Not free","","http://solar1.org/","Not accessible","2420 FDR Drive, Service Road East","","New York","New York","United States","10010","40.735234","-73.974552","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/47181717@N00/360953220","","","","","Yes"
"192","Stuyvesant Cove Park","NYC Green Apple Map","22","03/03/2008 - 14:13","03/05/2012 - 14:11","Waterfront/Riverside Park","Waterfront/Riverside Park, Public Space/Square, Native Forests/Plants, Eco-Tour/Nature Walk, Bird and Wildlife Watching, Ecotourism Resource, Sunrise/Sunset Site","","This is an amazing park, planted especially to provide food for wildlife throughout the seasons. With the wonderful Solar One on the north end, the path south leads all the way through East River Park. Houses a 3-bin compost system for yard waste mid-park.  Real riverside refreshment!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","(212) 673-7507","","Not free","","http://www.stuyvesantcove.org/","Not accessible","E. 18th-23rd St. & FDR Drive","","New York","New York","United States","","40.748486","-73.967778","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/47181717@N00/323373607","","","","","Yes"
"193","Union Square Greenmarket","NYC Green Apple Map","22","03/03/2008 - 15:04","03/14/2008 - 11:30","Composting Site","Composting Site","","Public drop off & compost outreach at LESEC's stand every MWF & Saturday, 8am to 5pm.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","17th St & Park Ave. South","","New York","New York","United States","","40.736526","-73.989572","NYC Compost Green Map","366","Yes","No","","","http://www.flickr.com/photos/70747326@N00/153642424","","","","","Yes"
"194","Lower East Side Garden","NYC Green Apple Map","22","03/03/2008 - 15:08","02/28/2011 - 15:58","Community Garden","Public Forest/Natural Area, Community Garden","","Composting in Open Road's student-designed garden.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://cpmcnet.columbia.edu/dept/physio/schools/318/openrd.html","Not accessible","E. 11th St. east of 1st Ave","","New York","New York","United States","","40.763681","-73.959012","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","","Photo by Yenta Laureate","","","","Yes"
"195","Lower East Side Ecology Center Garden","NYC Green Apple Map","22","03/03/2008 - 15:14","03/10/2012 - 17:01","Composting Site","Native Forests/Plants, Garden, Volunteer Site, Bird and Wildlife Watching, Composting Site, Eco Landscaping","","Public drop off for compostable food and garden scraps, any time through gate opening. Gate is open year-round: Sundays 8am to 5pm. Come in and enjoy the quiet green space and art, as well as the materials we use everyday. 
LESEC supports composting and E-waste (electronics such as computers, TVs, etc) recycling and other sustainability efforts by residents and businesses in Manhattan.","","Appointment not needed","Children welcome","No Volunteer Opportunities","","Accessible by public transport","Between Avenues B and C, on the north side of the street","","","Free entry","","http://www.lesecologycenter.org/composting_dropoff.html","Wheelchair Accessible","E. 7th St. btw Aves. B & C","(north side)","New York","New York","United States","","40.724494","-73.979755","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/9417118@N08/2735824915","Lower East Side Ecology Center Garden","Watch video","Video filmed and produced by Carlos Martinez","","Yes"
"196","Franklin Roosevelt PS 34","NYC Green Apple Map","22","03/03/2008 - 15:18","03/01/2011 - 16:13","School","School","","Educational composting in historical garden setting.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","730 E. 12th St.","","New York","New York","United States","10009","40.726401","-73.975172","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","http://www.flickr.com/photos/8742248@N07/4330056534","","","","","Yes"
"198","The Earth School","NYC Green Apple Map","22","03/03/2008 - 15:32","03/10/2012 - 17:04","Environmental Education","Environmental Education, School","ecology","Outdoor bins in school's garden for yard waste & students' food waste.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.theearthschool.org/","Not accessible","600 E. 6th St.","","New York","New York","United States","10009","40.724474","-73.981621","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/10485077@N06/4305376780","","","","","Yes"
"199","East River Park","NYC Green Apple Map","22","03/03/2008 - 15:38","03/09/2012 - 16:32","Park/Recreation Area","Park/Recreation Area","","LESEC's custom-built in-vessel flood waste system composts waste collected from their public drop off sites.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.nycgovparks.org/parks/eastriverpark","Not accessible","","","","","","","","","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/35347003@N00/1391378651","","","","","Yes"
"200","Grand St. Fireboat House","NYC Green Apple Map","22","03/03/2008 - 15:41","03/03/2011 - 10:44","Environmental Education","Environmental Education","","LESEC's East River Park Environmental Learning Center.  Compost & ecology workshops & events, year-round!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","Grand St. & FDR Drive","","New York","New York","United States","","40.713218","-73.977624","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
"201","PS 134","NYC Green Apple Map","22","03/03/2008 - 15:44","03/03/2011 - 10:42","School","School","","Classroom worm bins & garden compost site in development.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","293 East Broadway","","New York","New York","United States","","40.714573","-73.983711","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
"202","PS 2","NYC Green Apple Map","22","03/03/2008 - 15:47","03/03/2011 - 11:05","School","School","","Classroom with worm bins.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","122 Henry St.","","New York","New York","United States","10002","40.713254","-73.991434","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","http://www.flickr.com/photos/88859634@N00/2679491709","","","","","Yes"
"203","City As School","NYC Green Apple Map","22","03/03/2008 - 15:52","03/03/2011 - 10:13","School","School","","Project Grow composting entrepreneurship program.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.city-as-school.org/html/project/index.php","Not accessible","16 Clarkson St.","","New York","New York","United States","10014","40.729048","-74.006144","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
"204","Battery Park City Parks Conservancy","NYC Green Apple Map","22","03/03/2008 - 16:00","04/20/2010 - 10:48","Park/Recreation Area","Park/Recreation Area","","Advanced compost systems for office & supermarket food waste.  Eco-smart ""Leave it on the Lawn"" policy & windrows for yard waste.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","info@bpcparks.org","Not free","","http://www.bpcparks.org/","Not accessible","Battery Park Pl. & Thames St.","","New York","New York","United States","","40.708108","-74.016770","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/87813015@N00/1163884207","","","","","Yes"
"367","West 181st Street Beautification Project","NYC Green Apple Map","22","04/04/2008 - 13:14","03/10/2012 - 17:01","Composting Site","Community Garden, Composting Site","","Public drop off.  Compost in beautiful community garden with youth leadership program.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","880 W. 181st St.","","New York","New York","United States","","40.851826","-73.941810","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","","","","","","Yes"
"368","Union Square Composting Site","NYC Green Apple Map","22","04/04/2008 - 13:23","11/19/2012 - 15:44","Composting Site","Composting Site","","Accepts Food Scrap Compost and Drop off areas for rechargeable batteries & mobile phones. Accepts Textiles Recycling Wednesday and Friday only
The world-famous Union Square Greenmarket began with just a few farmers in 1976, has grown exponentially over the past 35 years: in peak season, 140 regional farmers, fishermen, and bakers descend upon Union Square to sell their products to a devout legion of city dwellers who support local agriculture with their food dollars.
As Greenmarket's flagship market, the seasonal bounty is unparalleled, with hundreds of varieties to choose from during any given season. From just-picked fresh fruits and vegetables, to heritage meats and award-winning farmstead cheeses, artisan breads, jams, pickles, a profusion of cut flowers and plants, wine, ciders, maple syrup and much more.
Located in one of New York City's great public spaces, the atmosphere at Union Square on a market day is electric: 60,000 market shoppers shop and chat with farmers; students of all ages tour the market and learn about seasonality; visitors watch and taste cooking demonstrations by some of New York's hottest local chefs.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.grownyc.org/node/282","Not accessible","17th St & Park Ave. South","","New York","New York","United States","","40.736574","-73.989059","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/81933928@N00/308643822","","","","","Yes"
"369","Lower East Side Ecology Center Garden","NYC Green Apple Map","22","04/04/2008 - 13:27","03/10/2012 - 17:01","Composting Site","Community Garden, Composting Site","","Public drop off, any time through gate opening.  Community garden open year-round: Sundays 8am to 5pm.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","E. 7th St. btw Aves. B & C (north side)","","New York","New York","United States","","40.724502","-73.979745","NYC Compost Green Map","366","Yes","No","","","","","","","","Yes"
"2724","Rodale Pleasant Park Garden","NYC Green Apple Map","22","12/02/2008 - 12:24","04/20/2010 - 09:54","Community Garden","Solar Energy Site, Community Garden","","Three bin composters for yard and tumbler for members' food waste built by NY Restoration Project, with rain-water recycling and straw-bale shed!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","437 East 114th Street","","Manhattan","New York","United States","","40.793994","-73.934722","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","","","","","","Yes"
"2725","New York University","NYC Green Apple Map","22","12/02/2008 - 12:33","06/05/2011 - 23:07","Environmental Education","Environmental Education","","NYU's 13 dining halls began composting in 2008. Averaging 15 tons per day, find out more about their campus-wide greening programs at http://NYU.edu/sustainability. New York University rated in the top 20 green universities in 2010.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","","","Manhattan","New York","United States","","40.783435","-73.966250","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","Yes","","","http://www.flickr.com/photos//3829632446","","","","","Yes"
"3499","Queens Botanical Garden","","","03/21/2009 - 10:36","03/10/2012 - 17:01","Significant Organization/Agency","Public Forest/Natural Area, Significant Organization/Agency, Garden, Green Roof, Bird and Wildlife Watching, Composting Site","","Master Composter and classes as well as school field trips. Fabulous green roof & new center building! Explore the plants presented as unique expressions of cultural traditions.","","Appointment not needed","Children welcome","Volunteer Opportunities are Available","","Not accessible by public transport","","718 886 3800 ext 222","dtainow@queensbotanical.org","Not free","","http://queensbotanical.org","Wheelchair Accessible","43-50 Main St.","Flushing, NY","Flushing","New York","United States","11355","40.751138","-73.826087","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","Amanda Mayo","","http://www.flickr.com/photos/90021921@N00/2437822998","By All Ways","","","","Yes"
"3500","Fordham Bedford Lot Busters Community Garden","","","03/21/2009 - 11:13","03/10/2012 - 17:00","Community Garden","Community Garden, Composting Site, Child Friendly Site","","Open to the public.  Lots of flowers and raised beds.  Children-friendly!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","Bainbridge Ave. between Fordham and 194th Street","Bronx, NY","Bronx","New York","United States","10458","40.864132","-73.891312","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","Yes","Dana Nemley","nemley1@verizon.net","","","","","","Yes"
"3501","Hollenback Community Garden","","","03/21/2009 - 12:00","03/10/2012 - 17:01","Community Garden","Organic/Local Food, Water Recycling, Community Garden, Composting Site, WC/Public Restroom, Senior Friendly Site","COMMUNITY EVENTS, community garden, compost, COMPOSTING TOILET, RAIN WATER HARVESTER, YOUTH AND GARDENING","HOLLENBACK.PBWIKI.COM, COMMUNITY EVENTS, community garden, compost, COMPOSTING TOILET, RAIN WATER HARVESTER, YOUTH AND GARDENING","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","460 WASHINGTON AVENUE","brooklyn, ny","Brooklyn","New York","United States","11238","40.685122","-73.965601","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","Yes","MARK TRUSHKOWSKY","HOLLENBACKCOMMUNITYGARDEN@YAHOO.COM","http://www.flickr.com/photos/79759083@N00/2744115092","","","","","Yes"
"3502","11bc Serenity Garden","","","03/21/2009 - 12:15","03/01/2011 - 16:14","Community Garden","Community Garden, Composting Site","","A small community garden located between Ave B & C.  Includes shade garden and large area for music, performance and community events.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","626 East 11th Street","","New York","New York","United States","10009","40.726967","-73.978332","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
"3503","Campos Garden","","","03/21/2009 - 12:20","03/01/2011 - 16:11","Community Garden","Community Garden","","A large sunny community garden located on East 12th Street in the East Village, NYC.   Involved with Children's Workshop School Green Education, composting, flower and vegetable growing.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","628 East 12th","","New York","New York","United States","10009","40.727539","-73.977720","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","http://www.flickr.com/photos/9423545@N05/5136167620","","","","","Yes"
"3504","The Bean Field","","","03/21/2009 - 21:24","08/01/2012 - 16:26","Composting Site","Eco-Agriculture/Permaculture, Composting Site","","Garden striving to remediate local soil, grow food in the city and recycle urban waste.  Rainwater harvesting systems, raised beds, polyculture planting, and winter cold frames are supplemented by a growing community compost project.  The structures in the garden are built from  materials salvaged from apartment renovations and the garbage. The Bean Field is a backyard garden so there is no direct street access. Interested in contributing to community compost in Bushwick? call Andrew 339.222.2550","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","184 Wilson Ave","","Brooklyn","New York","United States","11237","40.699449","-73.923551","NYC Energy, Less = More NYC, Green Map NYC, NYC Compost Green Map","22599, 30990, 1561, 366","Yes","Yes","Andrew Casner","awcasner@gmail.com","","","","","","Yes"
"4471","Community Compost Pickup","amanda","1106","04/29/2009 - 11:20","02/12/2010 - 15:00","Composting Site","Farmers/Local Market, Composting Site","cenyc, citizens committee, compost, greenmarket, volunteer","The all volunteer community compost project in Fort Greene picks up food scraps at the Ft Greene Greenmarket every Saturday from 8-12. Local community gardens turn the scraps into compost for garden use. Find out more about how to help make this project happen.","","Appointment not needed","Not child friendly","Volunteer Opportunities are Available","Ride the compost trike! Turn compost! Help with tabling, outreach and education!","Not accessible by public transport","","","","Not free","","http://www.openplans.org/projects/compost","Not accessible","","","","","","","","","NYC Compost Green Map","366","Yes","Yes","","","","","","","","Yes"
